"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
415,"Y","3","M",44,0,0,7.925,"S"
417,"Y","2","F",34,1,1,32.5,"S"
418,"Y","2","F",18,0,2,13,"S"
419,"N","2","M",30,0,0,13,"S"
420,"N","3","F",10,0,2,24.15,"S"
422,"N","3","M",21,0,0,7.7333,"Q"
423,"N","3","M",29,0,0,7.875,"S"
424,"N","3","F",28,1,1,14.4,"S"
425,"N","3","M",18,1,1,20.2125,"S"
427,"Y","2","F",28,1,0,26,"S"
428,"Y","2","F",19,0,0,26,"S"
430,"Y","3","M",32,0,0,8.05,"S"
431,"Y","1","M",28,0,0,26.55,"S"
433,"Y","2","F",42,1,0,26,"S"
434,"N","3","M",17,0,0,7.125,"S"
435,"N","1","M",50,1,0,55.9,"S"
436,"Y","1","F",14,1,2,120,"S"
437,"N","3","F",21,2,2,34.375,"S"
438,"Y","2","F",24,2,3,18.75,"S"
439,"N","1","M",64,1,4,263,"S"
440,"N","2","M",31,0,0,10.5,"S"
441,"Y","2","F",45,1,1,26.25,"S"
442,"N","3","M",20,0,0,9.5,"S"
443,"N","3","M",25,1,0,7.775,"S"
444,"Y","2","F",28,0,0,13,"S"
446,"Y","1","M",4,0,2,81.8583,"S"
447,"Y","2","F",13,0,1,19.5,"S"
448,"Y","1","M",34,0,0,26.55,"S"
449,"Y","3","F",5,2,1,19.2583,"C"
450,"Y","1","M",52,0,0,30.5,"S"
451,"N","2","M",36,1,2,27.75,"S"
453,"N","1","M",30,0,0,27.75,"C"
454,"Y","1","M",49,1,0,89.1042,"C"
456,"Y","3","M",29,0,0,7.8958,"C"
457,"N","1","M",65,0,0,26.55,"S"
459,"Y","2","F",50,0,0,10.5,"S"
461,"Y","1","M",48,0,0,26.55,"S"
462,"N","3","M",34,0,0,8.05,"S"
463,"N","1","M",47,0,0,38.5,"S"
464,"N","2","M",48,0,0,13,"S"
466,"N","3","M",38,0,0,7.05,"S"
468,"N","1","M",56,0,0,26.55,"S"
470,"Y","3","F",0.75,2,1,19.2583,"C"
472,"N","3","M",38,0,0,8.6625,"S"
473,"Y","2","F",33,1,2,27.75,"S"
474,"Y","2","F",23,0,0,13.7917,"C"
475,"N","3","F",22,0,0,9.8375,"S"
477,"N","2","M",34,1,0,21,"S"
478,"N","3","M",29,1,0,7.0458,"S"
479,"N","3","M",22,0,0,7.5208,"S"
480,"Y","3","F",2,0,1,12.2875,"S"
481,"N","3","M",9,5,2,46.9,"S"
483,"N","3","M",50,0,0,8.05,"S"
484,"Y","3","F",63,0,0,9.5875,"S"
485,"Y","1","M",25,1,0,91.0792,"C"
487,"Y","1","F",35,1,0,90,"S"
488,"N","1","M",58,0,0,29.7,"C"
489,"N","3","M",30,0,0,8.05,"S"
490,"Y","3","M",9,1,1,15.9,"S"
492,"N","3","M",21,0,0,7.25,"S"
493,"N","1","M",55,0,0,30.5,"S"
494,"N","1","M",71,0,0,49.5042,"C"
495,"N","3","M",21,0,0,8.05,"S"
497,"Y","1","F",54,1,0,78.2667,"C"
499,"N","1","F",25,1,2,151.55,"S"
500,"N","3","M",24,0,0,7.7958,"S"
501,"N","3","M",17,0,0,8.6625,"S"
502,"N","3","F",21,0,0,7.75,"Q"
504,"N","3","F",37,0,0,9.5875,"S"
505,"Y","1","F",16,0,0,86.5,"S"
506,"N","1","M",18,1,0,108.9,"C"
507,"Y","2","F",33,0,2,26,"S"
509,"N","3","M",28,0,0,22.525,"S"
510,"Y","3","M",26,0,0,56.4958,"S"
511,"Y","3","M",29,0,0,7.75,"Q"
513,"Y","1","M",36,0,0,26.2875,"S"
514,"Y","1","F",54,1,0,59.4,"C"
515,"N","3","M",24,0,0,7.4958,"S"
516,"N","1","M",47,0,0,34.0208,"S"
517,"Y","2","F",34,0,0,10.5,"S"
519,"Y","2","F",36,1,0,26,"S"
520,"N","3","M",32,0,0,7.8958,"S"
521,"Y","1","F",30,0,0,93.5,"S"
522,"N","3","M",22,0,0,7.8958,"S"
524,"Y","1","F",44,0,1,57.9792,"C"
526,"N","3","M",40.5,0,0,7.75,"Q"
527,"Y","2","F",50,0,0,10.5,"S"
529,"N","3","M",39,0,0,7.925,"S"
530,"N","2","M",23,2,1,11.5,"S"
531,"Y","2","F",2,1,1,26,"S"
533,"N","3","M",17,1,1,7.2292,"C"
535,"N","3","F",30,0,0,8.6625,"S"
536,"Y","2","F",7,0,2,26.25,"S"
537,"N","1","M",45,0,0,26.55,"S"
538,"Y","1","F",30,0,0,106.425,"C"
540,"Y","1","F",22,0,2,49.5,"C"
541,"Y","1","F",36,0,2,71,"S"
542,"N","3","F",9,4,2,31.275,"S"
543,"N","3","F",11,4,2,31.275,"S"
544,"Y","2","M",32,1,0,26,"S"
545,"N","1","M",50,1,0,106.425,"C"
546,"N","1","M",64,0,0,26,"S"
547,"Y","2","F",19,1,0,26,"S"
549,"N","3","M",33,1,1,20.525,"S"
550,"Y","2","M",8,1,1,36.75,"S"
551,"Y","1","M",17,0,2,110.8833,"C"
552,"N","2","M",27,0,0,26,"S"
554,"Y","3","M",22,0,0,7.225,"C"
555,"Y","3","F",22,0,0,7.775,"S"
556,"N","1","M",62,0,0,26.55,"S"
557,"Y","1","F",48,1,0,39.6,"C"
559,"Y","1","F",39,1,1,79.65,"S"
560,"Y","3","F",36,1,0,17.4,"S"
562,"N","3","M",40,0,0,7.8958,"S"
563,"N","2","M",28,0,0,13.5,"S"
566,"N","3","M",24,2,0,24.15,"S"
567,"N","3","M",19,0,0,7.8958,"S"
568,"N","3","F",29,0,4,21.075,"S"
570,"Y","3","M",32,0,0,7.8542,"S"
571,"Y","2","M",62,0,0,10.5,"S"
572,"Y","1","F",53,2,0,51.4792,"S"
573,"Y","1","M",36,0,0,26.3875,"S"
575,"N","3","M",16,0,0,8.05,"S"
576,"N","3","M",19,0,0,14.5,"S"
577,"Y","2","F",34,0,0,13,"S"
578,"Y","1","F",39,1,0,55.9,"S"
580,"Y","3","M",32,0,0,7.925,"S"
581,"Y","2","F",25,1,1,30,"S"
582,"Y","1","F",39,1,1,110.8833,"C"
583,"N","2","M",54,0,0,26,"S"
584,"N","1","M",36,0,0,40.125,"C"
586,"Y","1","F",18,0,2,79.65,"S"
587,"N","2","M",47,0,0,15,"S"
588,"Y","1","M",60,1,1,79.2,"C"
589,"N","3","M",22,0,0,8.05,"S"
591,"N","3","M",35,0,0,7.125,"S"
592,"Y","1","F",52,1,0,78.2667,"C"
593,"N","3","M",47,0,0,7.25,"S"
595,"N","2","M",37,1,0,26,"S"
596,"N","3","M",36,1,1,24.15,"S"
598,"N","3","M",49,0,0,0,"S"
600,"Y","1","M",49,1,0,56.9292,"C"
601,"Y","2","F",24,2,1,27,"S"
604,"N","3","M",44,0,0,8.05,"S"
605,"Y","1","M",35,0,0,26.55,"C"
606,"N","3","M",36,1,0,15.55,"S"
607,"N","3","M",30,0,0,7.8958,"S"
608,"Y","1","M",27,0,0,30.5,"S"
609,"Y","2","F",22,1,2,41.5792,"C"
610,"Y","1","F",40,0,0,153.4625,"S"
611,"N","3","F",39,1,5,31.275,"S"
615,"N","3","M",35,0,0,8.05,"S"
616,"Y","2","F",24,1,2,65,"S"
617,"N","3","M",34,1,1,14.4,"S"
618,"N","3","F",26,1,0,16.1,"S"
619,"Y","2","F",4,2,1,39,"S"
620,"N","2","M",26,0,0,10.5,"S"
621,"N","3","M",27,1,0,14.4542,"C"
622,"Y","1","M",42,1,0,52.5542,"S"
623,"Y","3","M",20,1,1,15.7417,"C"
624,"N","3","M",21,0,0,7.8542,"S"
625,"N","3","M",21,0,0,16.1,"S"
626,"N","1","M",61,0,0,32.3208,"S"
627,"N","2","M",57,0,0,12.35,"Q"
628,"Y","1","F",21,0,0,77.9583,"S"
629,"N","3","M",26,0,0,7.8958,"S"
631,"Y","1","M",80,0,0,30,"S"
632,"N","3","M",51,0,0,7.0542,"S"
633,"Y","1","M",32,0,0,30.5,"C"
635,"N","3","F",9,3,2,27.9,"S"
636,"Y","2","F",28,0,0,13,"S"
637,"N","3","M",32,0,0,7.925,"S"
638,"N","2","M",31,1,1,26.25,"S"
639,"N","3","F",41,0,5,39.6875,"S"
641,"N","3","M",20,0,0,7.8542,"S"
642,"Y","1","F",24,0,0,69.3,"C"
643,"N","3","F",2,3,2,27.9,"S"
645,"Y","3","F",0.75,2,1,19.2583,"C"
646,"Y","1","M",48,1,0,76.7292,"C"
647,"N","3","M",19,0,0,7.8958,"S"
648,"Y","1","M",56,0,0,35.5,"C"
650,"Y","3","F",23,0,0,7.55,"S"
652,"Y","2","F",18,0,1,23,"S"
653,"N","3","M",21,0,0,8.4333,"S"
655,"N","3","F",18,0,0,6.75,"Q"
656,"N","2","M",24,2,0,73.5,"S"
658,"N","3","F",32,1,1,15.5,"Q"
659,"N","2","M",23,0,0,13,"S"
660,"N","1","M",58,0,2,113.275,"C"
661,"Y","1","M",50,2,0,133.65,"S"
662,"N","3","M",40,0,0,7.225,"C"
663,"N","1","M",47,0,0,25.5875,"S"
664,"N","3","M",36,0,0,7.4958,"S"
665,"Y","3","M",20,1,0,7.925,"S"
666,"N","2","M",32,2,0,73.5,"S"
667,"N","2","M",25,0,0,13,"S"
669,"N","3","M",43,0,0,8.05,"S"
671,"Y","2","F",40,1,1,39,"S"
672,"N","1","M",31,1,0,52,"S"
673,"N","2","M",70,0,0,10.5,"S"
674,"Y","2","M",31,0,0,13,"S"
676,"N","3","M",18,0,0,7.775,"S"
677,"N","3","M",24.5,0,0,8.05,"S"
678,"Y","3","F",18,0,0,9.8417,"S"
679,"N","3","F",43,1,6,46.9,"S"
680,"Y","1","M",36,0,1,512.3292,"C"
682,"Y","1","M",27,0,0,76.7292,"C"
683,"N","3","M",20,0,0,9.225,"S"
684,"N","3","M",14,5,2,46.9,"S"
685,"N","2","M",60,1,1,39,"S"
686,"N","2","M",25,1,2,41.5792,"C"
687,"N","3","M",14,4,1,39.6875,"S"
688,"N","3","M",19,0,0,10.1708,"S"
689,"N","3","M",18,0,0,7.7958,"S"
690,"Y","1","F",15,0,1,211.3375,"S"
691,"Y","1","M",31,1,0,57,"S"
692,"Y","3","F",4,0,1,13.4167,"C"
694,"N","3","M",25,0,0,7.225,"C"
695,"N","1","M",60,0,0,26.55,"S"
696,"N","2","M",52,0,0,13.5,"S"
697,"N","3","M",44,0,0,8.05,"S"
699,"N","1","M",49,1,1,110.8833,"C"
700,"N","3","M",42,0,0,7.65,"S"
701,"Y","1","F",18,1,0,227.525,"C"
702,"Y","1","M",35,0,0,26.2875,"S"
703,"N","3","F",18,0,1,14.4542,"C"
704,"N","3","M",25,0,0,7.7417,"Q"
705,"N","3","M",26,1,0,7.8542,"S"
706,"N","2","M",39,0,0,26,"S"
707,"Y","2","F",45,0,0,13.5,"S"
708,"Y","1","M",42,0,0,26.2875,"S"
709,"Y","1","F",22,0,0,151.55,"S"
711,"Y","1","F",24,0,0,49.5042,"C"
713,"Y","1","M",48,1,0,52,"S"
714,"N","3","M",29,0,0,9.4833,"S"
715,"N","2","M",52,0,0,13,"S"
716,"N","3","M",19,0,0,7.65,"S"
717,"Y","1","F",38,0,0,227.525,"C"
718,"Y","2","F",27,0,0,10.5,"S"
720,"N","3","M",33,0,0,7.775,"S"
721,"Y","2","F",6,0,1,33,"S"
722,"N","3","M",17,1,0,7.0542,"S"
723,"N","2","M",34,0,0,13,"S"
724,"N","2","M",50,0,0,13,"S"
725,"Y","1","M",27,1,0,53.1,"S"
726,"N","3","M",20,0,0,8.6625,"S"
727,"Y","2","F",30,3,0,21,"S"
729,"N","2","M",25,1,0,26,"S"
730,"N","3","F",25,1,0,7.925,"S"
731,"Y","1","F",29,0,0,211.3375,"S"
732,"N","3","M",11,0,0,18.7875,"C"
734,"N","2","M",23,0,0,13,"S"
735,"N","2","M",23,0,0,13,"S"
736,"N","3","M",28.5,0,0,16.1,"S"
737,"N","3","F",48,1,3,34.375,"S"
738,"Y","1","M",35,0,0,512.3292,"C"
742,"N","1","M",36,1,0,78.85,"S"
743,"Y","1","F",21,2,2,262.375,"C"
744,"N","3","M",24,1,0,16.1,"S"
745,"Y","3","M",31,0,0,7.925,"S"
746,"N","1","M",70,1,1,71,"S"
747,"N","3","M",16,1,1,20.25,"S"
